chunk_id,combination_id,permutation_index,components,values,assembled_text
CHUNK1,chunk1_perm_000,0,T1|T2|T4,rhino named Ruby|a tall cowboy hat with a star on it|a pair of broken spectacles held together with tape,rhino named Ruby a tall cowboy hat with a star on it a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_001,1,T1|T2|T4,rhino named Ruby|a tall cowboy hat with a star on it|a pair of large racing goggles,rhino named Ruby a tall cowboy hat with a star on it a pair of large racing goggles
CHUNK1,chunk1_perm_002,2,T1|T2|T4,rhino named Ruby|a tall cowboy hat with a star on it|heart shaped glasses,rhino named Ruby a tall cowboy hat with a star on it heart shaped glasses
CHUNK1,chunk1_perm_003,3,T1|T2|T4,rhino named Ruby|a tall cowboy hat with a star on it|a yellow eye patch over one eye,rhino named Ruby a tall cowboy hat with a star on it a yellow eye patch over one eye
CHUNK1,chunk1_perm_004,4,T1|T2|T4,rhino named Ruby|a tall cowboy hat with a star on it|a gummy bear nose piercing,rhino named Ruby a tall cowboy hat with a star on it a gummy bear nose piercing
CHUNK1,chunk1_perm_005,5,T1|T2|T4,rhino named Ruby|a tall cowboy hat with a star on it|sky blue eye shadow,rhino named Ruby a tall cowboy hat with a star on it sky blue eye shadow
CHUNK1,chunk1_perm_006,6,T1|T2|T4,rhino named Ruby|a tall cowboy hat with a star on it|pink fuzzy frame glasses,rhino named Ruby a tall cowboy hat with a star on it pink fuzzy frame glasses
CHUNK1,chunk1_perm_007,7,T1|T2|T4,rhino named Ruby|a tall cowboy hat with a star on it|glasses covered in large buttons,rhino named Ruby a tall cowboy hat with a star on it glasses covered in large buttons
CHUNK1,chunk1_perm_008,8,T1|T2|T4,rhino named Ruby|a tall cowboy hat with a star on it|mirrored cycling sunglasses,rhino named Ruby a tall cowboy hat with a star on it mirrored cycling sunglasses
CHUNK1,chunk1_perm_009,9,T1|T2|T4,rhino named Ruby|a tall cowboy hat with a star on it|a monocle on a chain,rhino named Ruby a tall cowboy hat with a star on it a monocle on a chain
CHUNK1,chunk1_perm_010,10,T1|T2|T4,rhino named Ruby|a avant garde purple mohawk|a pair of broken spectacles held together with tape,rhino named Ruby a avant garde purple mohawk a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_011,11,T1|T2|T4,rhino named Ruby|a avant garde purple mohawk|a pair of large racing goggles,rhino named Ruby a avant garde purple mohawk a pair of large racing goggles
CHUNK1,chunk1_perm_012,12,T1|T2|T4,rhino named Ruby|a avant garde purple mohawk|heart shaped glasses,rhino named Ruby a avant garde purple mohawk heart shaped glasses
CHUNK1,chunk1_perm_013,13,T1|T2|T4,rhino named Ruby|a avant garde purple mohawk|a yellow eye patch over one eye,rhino named Ruby a avant garde purple mohawk a yellow eye patch over one eye
CHUNK1,chunk1_perm_014,14,T1|T2|T4,rhino named Ruby|a avant garde purple mohawk|a gummy bear nose piercing,rhino named Ruby a avant garde purple mohawk a gummy bear nose piercing
CHUNK1,chunk1_perm_015,15,T1|T2|T4,rhino named Ruby|a avant garde purple mohawk|sky blue eye shadow,rhino named Ruby a avant garde purple mohawk sky blue eye shadow
CHUNK1,chunk1_perm_016,16,T1|T2|T4,rhino named Ruby|a avant garde purple mohawk|pink fuzzy frame glasses,rhino named Ruby a avant garde purple mohawk pink fuzzy frame glasses
CHUNK1,chunk1_perm_017,17,T1|T2|T4,rhino named Ruby|a avant garde purple mohawk|glasses covered in large buttons,rhino named Ruby a avant garde purple mohawk glasses covered in large buttons
CHUNK1,chunk1_perm_018,18,T1|T2|T4,rhino named Ruby|a avant garde purple mohawk|mirrored cycling sunglasses,rhino named Ruby a avant garde purple mohawk mirrored cycling sunglasses
CHUNK1,chunk1_perm_019,19,T1|T2|T4,rhino named Ruby|a avant garde purple mohawk|a monocle on a chain,rhino named Ruby a avant garde purple mohawk a monocle on a chain
CHUNK1,chunk1_perm_020,20,T1|T2|T4,rhino named Ruby|a sideways baseball cap|a pair of broken spectacles held together with tape,rhino named Ruby a sideways baseball cap a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_021,21,T1|T2|T4,rhino named Ruby|a sideways baseball cap|a pair of large racing goggles,rhino named Ruby a sideways baseball cap a pair of large racing goggles
CHUNK1,chunk1_perm_022,22,T1|T2|T4,rhino named Ruby|a sideways baseball cap|heart shaped glasses,rhino named Ruby a sideways baseball cap heart shaped glasses
CHUNK1,chunk1_perm_023,23,T1|T2|T4,rhino named Ruby|a sideways baseball cap|a yellow eye patch over one eye,rhino named Ruby a sideways baseball cap a yellow eye patch over one eye
CHUNK1,chunk1_perm_024,24,T1|T2|T4,rhino named Ruby|a sideways baseball cap|a gummy bear nose piercing,rhino named Ruby a sideways baseball cap a gummy bear nose piercing
CHUNK1,chunk1_perm_025,25,T1|T2|T4,rhino named Ruby|a sideways baseball cap|sky blue eye shadow,rhino named Ruby a sideways baseball cap sky blue eye shadow
CHUNK1,chunk1_perm_026,26,T1|T2|T4,rhino named Ruby|a sideways baseball cap|pink fuzzy frame glasses,rhino named Ruby a sideways baseball cap pink fuzzy frame glasses
CHUNK1,chunk1_perm_027,27,T1|T2|T4,rhino named Ruby|a sideways baseball cap|glasses covered in large buttons,rhino named Ruby a sideways baseball cap glasses covered in large buttons
CHUNK1,chunk1_perm_028,28,T1|T2|T4,rhino named Ruby|a sideways baseball cap|mirrored cycling sunglasses,rhino named Ruby a sideways baseball cap mirrored cycling sunglasses
CHUNK1,chunk1_perm_029,29,T1|T2|T4,rhino named Ruby|a sideways baseball cap|a monocle on a chain,rhino named Ruby a sideways baseball cap a monocle on a chain
CHUNK1,chunk1_perm_030,30,T1|T2|T4,rhino named Ruby|a tiara of french fries|a pair of broken spectacles held together with tape,rhino named Ruby a tiara of french fries a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_031,31,T1|T2|T4,rhino named Ruby|a tiara of french fries|a pair of large racing goggles,rhino named Ruby a tiara of french fries a pair of large racing goggles
CHUNK1,chunk1_perm_032,32,T1|T2|T4,rhino named Ruby|a tiara of french fries|heart shaped glasses,rhino named Ruby a tiara of french fries heart shaped glasses
CHUNK1,chunk1_perm_033,33,T1|T2|T4,rhino named Ruby|a tiara of french fries|a yellow eye patch over one eye,rhino named Ruby a tiara of french fries a yellow eye patch over one eye
CHUNK1,chunk1_perm_034,34,T1|T2|T4,rhino named Ruby|a tiara of french fries|a gummy bear nose piercing,rhino named Ruby a tiara of french fries a gummy bear nose piercing
CHUNK1,chunk1_perm_035,35,T1|T2|T4,rhino named Ruby|a tiara of french fries|sky blue eye shadow,rhino named Ruby a tiara of french fries sky blue eye shadow
CHUNK1,chunk1_perm_036,36,T1|T2|T4,rhino named Ruby|a tiara of french fries|pink fuzzy frame glasses,rhino named Ruby a tiara of french fries pink fuzzy frame glasses
CHUNK1,chunk1_perm_037,37,T1|T2|T4,rhino named Ruby|a tiara of french fries|glasses covered in large buttons,rhino named Ruby a tiara of french fries glasses covered in large buttons
CHUNK1,chunk1_perm_038,38,T1|T2|T4,rhino named Ruby|a tiara of french fries|mirrored cycling sunglasses,rhino named Ruby a tiara of french fries mirrored cycling sunglasses
CHUNK1,chunk1_perm_039,39,T1|T2|T4,rhino named Ruby|a tiara of french fries|a monocle on a chain,rhino named Ruby a tiara of french fries a monocle on a chain
CHUNK1,chunk1_perm_040,40,T1|T2|T4,rhino named Ruby|a fruit-adorned headdress|a pair of broken spectacles held together with tape,rhino named Ruby a fruit-adorned headdress a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_041,41,T1|T2|T4,rhino named Ruby|a fruit-adorned headdress|a pair of large racing goggles,rhino named Ruby a fruit-adorned headdress a pair of large racing goggles
CHUNK1,chunk1_perm_042,42,T1|T2|T4,rhino named Ruby|a fruit-adorned headdress|heart shaped glasses,rhino named Ruby a fruit-adorned headdress heart shaped glasses
CHUNK1,chunk1_perm_043,43,T1|T2|T4,rhino named Ruby|a fruit-adorned headdress|a yellow eye patch over one eye,rhino named Ruby a fruit-adorned headdress a yellow eye patch over one eye
CHUNK1,chunk1_perm_044,44,T1|T2|T4,rhino named Ruby|a fruit-adorned headdress|a gummy bear nose piercing,rhino named Ruby a fruit-adorned headdress a gummy bear nose piercing
CHUNK1,chunk1_perm_045,45,T1|T2|T4,rhino named Ruby|a fruit-adorned headdress|sky blue eye shadow,rhino named Ruby a fruit-adorned headdress sky blue eye shadow
CHUNK1,chunk1_perm_046,46,T1|T2|T4,rhino named Ruby|a fruit-adorned headdress|pink fuzzy frame glasses,rhino named Ruby a fruit-adorned headdress pink fuzzy frame glasses
CHUNK1,chunk1_perm_047,47,T1|T2|T4,rhino named Ruby|a fruit-adorned headdress|glasses covered in large buttons,rhino named Ruby a fruit-adorned headdress glasses covered in large buttons
CHUNK1,chunk1_perm_048,48,T1|T2|T4,rhino named Ruby|a fruit-adorned headdress|mirrored cycling sunglasses,rhino named Ruby a fruit-adorned headdress mirrored cycling sunglasses
CHUNK1,chunk1_perm_049,49,T1|T2|T4,rhino named Ruby|a fruit-adorned headdress|a monocle on a chain,rhino named Ruby a fruit-adorned headdress a monocle on a chain
CHUNK1,chunk1_perm_050,50,T1|T2|T4,rhino named Ruby|a bonnet knitted from dandelions|a pair of broken spectacles held together with tape,rhino named Ruby a bonnet knitted from dandelions a pair of broken spectacles held together with tape
CHUNK1,chunk1_perm_051,51,T1|T2|T4,rhino named Ruby|a bonnet knitted from dandelions|a pair of large racing goggles,rhino named Ruby a bonnet knitted from dandelions a pair of large racing goggles
CHUNK1,chunk1_perm_052,52,T1|T2|T4,rhino named Ruby|a bonnet knitted from dandelions|heart shaped glasses,rhino named Ruby a bonnet knitted from dandelions heart shaped glasses
CHUNK1,chunk1_perm_053,53,T1|T2|T4,rhino named Ruby|a bonnet knitted from dandelions|a yellow eye patch over one eye,rhino named Ruby a bonnet knitted from dandelions a yellow eye patch over one eye
CHUNK1,chunk1_perm_054,54,T1|T2|T4,rhino named Ruby|a bonnet knitted from dandelions|a gummy bear nose piercing,rhino named Ruby a bonnet knitted from dandelions a gummy bear nose piercing
CHUNK1,chunk1_perm_055,55,T1|T2|T4,rhino named Ruby|a bonnet knitted from dandelions|sky blue eye shadow,rhino named Ruby a bonnet knitted from dandelions sky blue eye shadow
CHUNK1,chunk1_perm_056,56,T1|T2|T4,rhino named Ruby|a bonnet knitted from dandelions|pink fuzzy frame glasses,rhino named Ruby a bonnet knitted from dandelions pink fuzzy frame glasses
CHUNK1,chunk1_perm_057,57,T1|T2|T4,rhino named Ruby|a bonnet knitted from dandelions|glasses covered in large buttons,rhino named Ruby a bonnet knitted from dandelions glasses covered in large buttons
CHUNK1,chunk1_perm_058,58,T1|T2|T4,rhino named Ruby|a bonnet knitted from dandelions|mirrored cycling sunglasses,rhino named Ruby a bonnet knitted from dandelions mirrored cycling sunglasses
CHUNK1,chunk1_perm_059,59,T1|T2|T4,rhino named Ruby|a bonnet knitted from dandelions|a monocle on a chain,rhino named Ruby a bonnet knitted from dandelions a monocle on a chain
CHUNK1,chunk1_perm_060,60,T1|T2|T4,rhino named Ruby|a colorful Mexican sombrero|a pair of broken spectacles held together with tape,rhino named Ruby a colorful Mexican sombrero a pair of broken spectacles held together with tape
