id,version,descriptor,color_temperature_k,direction_degrees,key_light_position,fill_light_position,shadow_softness,ambient_tone,lighting_phrase,notes
lighting_001,1.0.0,"Golden Hour Directional Rig",4800,45,"front-left at 45°","soft fill from right","diffused shadows, no hard edges","slightly warm highlights, neutral shadows","Warm, directional late-afternoon sunlight from front-left at 45°, soft fill light from right, subtle floor shadow, gently contrasted stop-motion studio lighting","Canonical golden hour lighting for anthropomorphic characters"
lighting_002,1.0.0,"Soft Indoor Ambient",3200,0,"overhead soft","360° ambient fill","very soft, minimal shadows","warm throughout","Soft, even overhead lighting with 360° ambient fill, minimal shadows, warm tungsten tone, cozy stop-motion studio atmosphere","Indoor library and home scenes"
lighting_003,1.0.0,"Dramatic Studio Shadows",5600,30,"front-left at 30°","minimal fill from back","sharp, defined shadows","cool highlights, deep shadows","Sharp, dramatic lighting from front-left at 30°, minimal back fill, defined shadows with high contrast, cinematic stop-motion studio lighting","Heroic and dramatic moments"
lighting_004,1.0.0,"Studio White Clean",6500,0,"direct overhead","even fill from all sides","soft, even shadows","neutral throughout","Clean, even overhead lighting with 360° fill, soft even shadows, neutral color temperature, professional stop-motion studio lighting","Product shots and clean presentations"
lighting_005,1.0.0,"Warm Sunset Glow",3800,60,"back-right at 60°","warm fill from front","very soft, elongated shadows","warm throughout","Warm sunset backlight from back-right at 60°, soft warm fill from front, elongated soft shadows, golden hour stop-motion studio lighting","Romantic and nostalgic scenes"
lighting_006,1.0.0,"Cool Moonlight",7500,15,"front-left at 15°","minimal cool fill","soft but defined shadows","cool highlights, blue shadows","Cool moonlight from front-left at 15°, minimal cool fill, soft defined shadows, blue-tinted stop-motion studio lighting","Night scenes and mysterious moments"
lighting_007,1.0.0,"Warm Candlelight",2800,45,"front-left at 45°","warm ambient from below","very soft, flickering shadows","warm throughout","Warm candlelight from front-left at 45°, soft warm ambient from below, flickering soft shadows, intimate stop-motion studio lighting","Intimate and cozy scenes"
lighting_008,1.0.0,"Bright Daylight",5500,30,"front-left at 30°","strong fill from right","moderate shadows","neutral highlights, warm shadows","Bright daylight from front-left at 30°, strong fill from right, moderate shadows, natural stop-motion studio lighting","Outdoor and bright scenes"
lighting_009,1.0.0,"Moody Overcast",4500,0,"diffused overhead","360° soft fill","very soft, minimal contrast","neutral throughout","Diffused overcast lighting from overhead, 360° soft fill, minimal contrast, natural stop-motion studio lighting","Overcast and contemplative scenes"
lighting_010,1.0.0,"Warm Firelight",3200,30,"front-left at 30°","warm ambient from below","soft, dancing shadows","warm throughout","Warm firelight from front-left at 30°, soft warm ambient from below, dancing soft shadows, cozy stop-motion studio lighting","Fireplace and warm interior scenes"
