id,version,descriptor,gesture_tags,body_configuration,wardrobe_zones_allowed,exclusions,notes
arms_open_welcome,1.1.0,"Arms wide, palms forward, weight centered, cheerful posture","welcome;greeting;open","standing;arms_horizontal;palms_forward","torso;headwear;neckwear",,"Optimistic energy"
sitting_crossed,1.0.0,"Sitting cross-legged, hands on knees, meditative posture","meditative;calm;peaceful","sitting;legs_crossed;hands_on_knees","legs;torso",,"Calm and centered"
arms_raised_victory,1.0.0,"Both arms raised high, celebratory stance","victory;celebration;triumph","standing;arms_vertical;fists_clenched","torso;headwear",,"Triumphant energy"
hands_on_hips,1.0.0,"Hands on hips, confident stance","confident;assertive;strong","standing;arms_akimbo;weight_shifted","torso",,"Confident posture"
waving_hello,1.0.0,"One arm raised in friendly wave","friendly;greeting;welcoming","standing;arm_wave;other_arm_relaxed","torso;headwear",,"Friendly greeting"
pointing_forward,1.0.0,"One arm extended forward, pointing","directive;focused;determined","standing;arm_extended;other_arm_relaxed","torso",,"Focused attention"
arms_behind_back,1.0.0,"Arms behind back, formal stance","formal;respectful;attentive","standing;arms_behind_back;chest_out","torso",,"Formal attention"
leaning_forward,1.0.0,"Leaning forward with interest","curious;engaged;attentive","standing;leaning_forward;hands_on_surface","torso",,"Engaged listening"
arms_crossed,1.0.0,"Arms crossed, defensive posture","defensive;protective;closed","standing;arms_crossed;weight_shifted","torso",,"Defensive stance"
reaching_up,1.0.0,"One arm reaching upward","aspirational;reaching;hopeful","standing;arm_reaching_up;other_arm_balanced","torso",,"Aspirational gesture"
sitting_relaxed,1.0.0,"Sitting comfortably, arms relaxed","relaxed;casual;comfortable","sitting;arms_relaxed;legs_comfortable","legs;torso",,"Relaxed and casual"
standing_at_attention,1.0.0,"Standing straight, arms at sides","formal;military;respectful","standing;arms_at_sides;chest_out","torso",,"Formal attention"
thinking_pose,1.0.0,"One hand on chin, thoughtful expression","thinking;contemplative;focused","standing;hand_on_chin;other_arm_relaxed","torso;headwear",,"Deep in thought"
celebrating,1.0.0,"Both arms raised, jumping or excited","excited;joyful;energetic","standing;arms_raised;bouncing","torso;headwear",,"Joyful celebration"
protective,1.0.0,"Arms crossed, protective stance","protective;defensive;guarding","standing;arms_crossed;stance_wide","torso",,"Protective stance"
t_pose,1.0.0,"Arms extended horizontally to sides, forming T-shape","neutral;reference;standard","standing;arms_horizontal;palms_down","torso;headwear",,"Standard reference pose for 3D modeling"
