id,version,descriptor,option_index,notes
tenner_12_00,1.0.0,open pitchers of milk,0,Tenner 12 option 0
tenner_12_01,1.0.0,vinyl records,1,Tenner 12 option 1
tenner_12_02,1.0.0,venomous snakes,2,Tenner 12 option 2
tenner_12_03,1.0.0,rusty chainsaws,3,Tenner 12 option 3
tenner_12_04,1.0.0,flaming teddy bears,4,Tenner 12 option 4
tenner_12_05,1.0.0,ripe pineapples,5,Tenner 12 option 5
tenner_12_06,1.0.0,hamsters in tiny tuxedos,6,Tenner 12 option 6
tenner_12_07,1.0.0,polished bowling balls,7,Tenner 12 option 7
tenner_12_08,1.0.0,rare medical books,8,Tenner 12 option 8
tenner_12_09,1.0.0,office staplers,9,Tenner 12 option 9
tenner_12_10,1.0.0,tattered teddy bears,10,Tenner 12 option 10
tenner_12_11,1.0.0,glass soda bottle,11,Tenner 12 option 11
tenner_12_12,1.0.0,sharp machetes,12,Tenner 12 option 12
tenner_12_13,1.0.0,flaming torches,13,Tenner 12 option 13
